Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
0	0.43520411454094676	0.2117012767688288	0.18742564592335612	0.001573367607148536	0.1640955951597198	0.0	0.6584577355733389	0.7522926650901197
1	0.34051137586821295	0.23890776912525766	0.21242835394384674	0.0016217867533520063	0.2065307143093306	0.0	0.6427837342876398	0.770935394402994
2	0.1546539410960987	0.37581118986665923	0.453113190884624	0	0.016421678152618094	0.01	0.5089883644364943	0.8633961835967918
3	0.1718884373102468	0.24518502467299452	0.44189451751967773	9.835074457959154E-5	0.14093366975250127	0.01	0.5259288251203565	0.8518484761278233
4	0.5267619189925311	0.1913131920417756	0.24022555643233395	0	0.041699332533359286	0.0	0.6453572874272527	0.7722494667034466
5	0.018025270594876137	0.500544435419337	0.04608301312233211	0.016827787488176458	0.4185194933752783	0.01	0.42854227493454716	0.9089590558263884
6	0.04947612814624893	0.5266338051405152	0.2398041270513856	0.004583532241109044	0.1795024074207412	0.01	0.572586830402491	0.8455693371814001
7	0.4375607121286422	0.1432692935079113	0.23005011280929236	0.0016733541945313226	0.1874465273596228	0.0	0.6539938980344502	0.7560911566431362
8	0.024340735113090314	0.23689577783471294	0.5103295616802506	7.422971569075319E-4	0.22769162821503863	0.0	0.6854716359394134	0.7314685286179619
9	0.31347766794742793	0.20583171217346438	0.22774975424509297	0.001320344239968172	0.2516205213940466	0.0	0.631400557544997	0.7803115467890083
10	0.47109326777770427	0.31534731834970886	0.13261899267823646	0.0016251533549792331	0.07931526783937115	0.0	0.6679257998763141	0.7438074560618039
11	0.0554349510894108	0.09092751361713246	0.5325841590398851	0.0025108638693885294	0.3185425123841831	0.0	0.7004915158831866	0.7144049011950336
12	0.1764650800866833	0.17930215432277183	0.0744925101047511	0.008992152095651794	0.560748103390142	0.01	0.5258624936655683	0.8528692955601767
13	0.4160159311331443	0.05576716534591471	0.33176679282892896	0.0010275642355089072	0.1954225464565031	0.0	0.6585427797888835	0.7535468043095223
